epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.615,1.94286,3.29775,1.4715,0.74803,0.24,0.2346,0.10924,1.40461,10.3849,1.39869,0.0003334,0.0003334,0.0003334
2,448.451,1.63454,1.53235,1.23031,0.00105,0.04,0.00058,0.00012,4.33273,inf,32.047,0.000676704,0.000676704,0.000676704
3,666.196,1.65906,1.48165,1.30686,0.01451,0.26,0.00992,0.00357,2.5105,inf,31.4553,0.00101308,0.00101308,0.00101308
4,936.96,1.65564,1.25026,1.25774,0,0,0,0,nan,nan,nan,0.00134252,0.00134252,0.00134252
5,1231.05,1.64506,1.23615,1.30457,0.00234,0.04,0.00141,0.00072,3.02245,18.1512,2.95573,0.00160099,0.00160099,0.00160099
6,1486.94,1.60157,1.20103,1.25609,0,0,0,0,6.30002,6.0475,9.73664,0.00158448,0.00158448,0.00158448
7,1738.83,1.61252,1.16954,1.23643,0.12339,0.26667,0.09379,0.07123,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,1979.76,1.56637,1.10715,1.24703,0.1889,0.26667,0.10947,0.06438,2.10563,6.28379,2.01381,0.00155148,0.00155148,0.00155148
9,2215.99,1.61037,1.11025,1.22541,0.23545,0.52667,0.32878,0.24897,1.03376,4.76647,1.51219,0.00153497,0.00153497,0.00153497
10,2451.97,1.54791,1.0111,1.21998,0.45975,0.84,0.65512,0.50585,0.94999,3.24095,1.09179,0.00151847,0.00151847,0.00151847
11,2730.19,1.50627,0.96117,1.19293,0.64825,0.36667,0.5315,0.38564,1.13298,3.02539,1.3382,0.00150197,0.00150197,0.00150197
12,2956.3,1.48534,0.98618,1.21308,0.79982,0.53333,0.66716,0.49727,1.18331,3.19833,1.22894,0.00148546,0.00148546,0.00148546
13,3202.08,1.4287,0.94374,1.16361,1,0.68765,0.82542,0.604,1.10928,1.77861,1.23933,0.00146896,0.00146896,0.00146896
14,3413.03,1.41166,0.89369,1.14833,0.96433,0.14,0.16568,0.13651,1.43863,2.99499,1.47669,0.00145246,0.00145246,0.00145246
15,3685.08,1.39158,0.85872,1.15413,0.83601,0.5539,0.64708,0.43182,1.11024,1.2314,1.27601,0.00143595,0.00143595,0.00143595
16,3986.14,1.34068,0.8097,1.12452,0.90116,0.75574,0.87517,0.64801,1.01416,0.88571,1.14956,0.00141945,0.00141945,0.00141945
17,4275.23,1.33333,0.80663,1.11841,0.94084,0.95397,0.95334,0.71938,0.99771,0.7977,1.1747,0.00140295,0.00140295,0.00140295
18,4458.22,1.37034,0.82676,1.1052,0.80887,0.88398,0.87654,0.66336,1.0238,1.26526,1.13547,0.00138644,0.00138644,0.00138644
19,4723.11,1.31887,0.78326,1.11089,0.96228,0.88955,0.94069,0.72316,0.97609,0.87458,1.15277,0.00136994,0.00136994,0.00136994
20,4954.02,1.30083,0.76703,1.10205,0.95904,0.94816,0.95587,0.78331,0.86406,0.75736,1.06785,0.00135344,0.00135344,0.00135344
21,5210.09,1.27628,0.75232,1.08603,0.9111,0.74405,0.91093,0.69929,0.85015,0.62178,1.03473,0.00133693,0.00133693,0.00133693
22,5453.05,1.25371,0.74408,1.08001,0.95266,0.95054,0.95701,0.73125,0.96511,0.66602,1.09197,0.00132043,0.00132043,0.00132043
23,5688.74,1.28416,0.7204,1.076,0.96033,0.96,0.95711,0.79588,0.78215,0.56673,0.99071,0.00130393,0.00130393,0.00130393
24,6017.47,1.23565,0.70811,1.08299,0.93208,0.93362,0.94746,0.75634,1.01225,0.65081,1.0619,0.00128742,0.00128742,0.00128742
25,6252.19,1.23321,0.69314,1.06738,0.90483,0.42553,0.4171,0.24705,1.12641,1.39905,1.08974,0.00127092,0.00127092,0.00127092
26,6515.4,1.22243,0.69576,1.07011,0.87306,0.78104,0.82492,0.57576,1.18961,0.81164,1.13979,0.00125442,0.00125442,0.00125442
27,6748.19,1.22686,0.70215,1.05909,0.96322,0.92933,0.95671,0.8068,0.77916,0.55037,0.9952,0.00123791,0.00123791,0.00123791
28,6978.75,1.19762,0.68459,1.04946,0.91444,0.95718,0.95804,0.7561,0.85254,0.48887,1.0071,0.00122141,0.00122141,0.00122141
29,7210.09,1.22326,0.68663,1.06645,0.91848,0.92477,0.95313,0.70607,1.0862,0.63267,1.02735,0.00120491,0.00120491,0.00120491
30,7464.73,1.20698,0.68201,1.05626,0.97488,0.91781,0.93715,0.7246,1.01055,0.65705,1.05201,0.0011884,0.0011884,0.0011884
31,7680.97,1.17303,0.65588,1.04332,0.96304,0.96,0.95713,0.77618,0.86098,0.51823,1.03864,0.0011719,0.0011719,0.0011719
32,7926.06,1.19099,0.65317,1.04954,0.95073,0.94197,0.95648,0.82546,0.8148,0.56837,0.97878,0.0011554,0.0011554,0.0011554
33,8165.79,1.18436,0.66502,1.05589,0.93462,0.96,0.95675,0.78762,0.90762,0.5628,1.00101,0.00113889,0.00113889,0.00113889
34,8483.31,1.18617,0.66186,1.04431,0.96614,0.96,0.95864,0.77285,0.90509,0.56669,1.01252,0.00112239,0.00112239,0.00112239
35,8735.63,1.17751,0.62908,1.03767,0.96414,0.96,0.95984,0.81845,0.75305,0.51649,0.9884,0.00110589,0.00110589,0.00110589
36,9038.53,1.14838,0.61494,1.02392,0.96028,0.96,0.95692,0.80201,0.7765,0.58023,0.98302,0.00108938,0.00108938,0.00108938
37,9320.3,1.14245,0.61727,1.01458,0.96714,0.95766,0.95828,0.77193,0.79673,0.51203,1.00408,0.00107288,0.00107288,0.00107288
38,9718.68,1.1756,0.62062,1.0286,0.94622,0.96,0.95969,0.75083,1.02562,0.49601,1.05427,0.00105638,0.00105638,0.00105638
39,10038.5,1.1433,0.62157,1.04063,0.94386,0.94,0.95642,0.77993,0.80895,0.53254,0.99226,0.00103987,0.00103987,0.00103987
40,10417.4,1.09046,0.58979,1.01391,0.95959,0.94193,0.96239,0.81189,0.85868,0.49106,1.0262,0.00102337,0.00102337,0.00102337
41,10707.8,1.11612,0.59309,1.02009,0.94684,0.96,0.96362,0.79098,0.96604,0.49599,1.04934,0.00100687,0.00100687,0.00100687
42,10964.5,1.06436,0.57471,1.00347,0.92753,0.94296,0.96284,0.78892,0.84564,0.45763,0.99944,0.000990365,0.000990365,0.000990365
43,11235.5,1.08855,0.57514,1.01517,0.95482,0.96,0.95962,0.77529,0.88751,0.48135,0.98893,0.000973861,0.000973861,0.000973861
44,11463.6,1.08349,0.58298,1.01208,0.9096,0.93734,0.9566,0.74872,1.05466,0.57629,1.07334,0.000957358,0.000957358,0.000957358
45,11707.7,1.08963,0.56758,1.01153,0.93347,0.94922,0.95872,0.77885,0.94242,0.54182,1.00355,0.000940855,0.000940855,0.000940855
46,11982,1.06383,0.56847,0.99014,0.95506,0.96,0.96625,0.79267,1.00798,0.51415,1.06605,0.000924352,0.000924352,0.000924352
47,12212,1.04246,0.5513,0.98154,0.96064,0.96,0.96209,0.79757,0.88176,0.47175,0.96711,0.000907848,0.000907848,0.000907848
48,12461.3,1.04097,0.54599,1.00119,0.95955,0.96,0.96229,0.7928,0.91012,0.47102,0.96279,0.000891345,0.000891345,0.000891345
49,12741.7,1.0367,0.56499,0.99747,0.98193,0.95352,0.9625,0.8284,0.72387,0.44284,0.93214,0.000874842,0.000874842,0.000874842
50,12971.1,1.01854,0.54419,0.97907,0.97304,0.96,0.96209,0.82461,0.78077,0.42238,0.95514,0.000858338,0.000858338,0.000858338
