epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5394,2.27891,7.43509,1.61592,0.01957,0.625,0.055,0.03483,1.1907,5.50222,1.37312,6.668e-05,6.668e-05,6.668e-05
2,93.574,2.20201,7.26572,1.58853,0.01957,0.625,0.05897,0.0347,1.18884,5.59793,1.35069,0.000148545,0.000148545,0.000148545
3,134.632,1.76967,4.76858,1.23366,0.02137,0.25,0.04921,0.02889,0.9784,6.05792,1.1771,0.000228759,0.000228759,0.000228759
4,173.977,1.33132,2.28147,1.00156,0.00996,0.625,0.01817,0.00545,0.86023,5.65345,1.27707,0.000307323,0.000307323,0.000307323
5,207.624,1.33236,1.70713,0.98399,0,0,0,0,1.5963,5.30549,2.10064,0.000384237,0.000384237,0.000384237
6,242.565,1.3011,1.34593,0.95477,0.75928,0.125,0.37648,0.21991,1.12538,2.98043,1.23994,0.0004595,0.0004595,0.0004595
7,283.708,1.33942,1.19025,0.96411,0.48425,0.125,0.1522,0.10654,2.03445,3.26529,3.25195,0.000533113,0.000533113,0.000533113
8,324.87,1.26433,1.07947,0.95057,0.01182,0.875,0.10112,0.04266,2.0989,3.53258,1.94959,0.000605076,0.000605076,0.000605076
9,360.036,1.29735,1.1131,0.96041,0.00037,0.5,0.00461,0.00138,3.01225,5.60417,2.51593,0.000675388,0.000675388,0.000675388
10,406.384,1.23413,0.93021,0.95929,0.98741,0.25,0.33383,0.22833,1.24947,2.4962,1.53281,0.00074405,0.00074405,0.00074405
11,449.288,1.27282,0.88809,0.9425,0.97548,0.375,0.37365,0.24264,1.54526,2.88147,1.94227,0.000811062,0.000811062,0.000811062
12,481.197,1.25639,0.83588,0.97175,0.66643,0.375,0.18625,0.10467,1.6465,2.24943,1.85228,0.000876424,0.000876424,0.000876424
13,519.848,1.22278,0.86018,0.94975,0.78865,0.375,0.52931,0.21763,1.16142,2.8755,1.41427,0.000940135,0.000940135,0.000940135
14,561.384,1.20662,0.8461,0.94981,0.81896,0.76209,0.95333,0.66915,1.06453,1.80687,1.54721,0.0010022,0.0010022,0.0010022
15,601.255,1.20903,0.79429,0.95149,0.9848,0.25,0.33224,0.25027,1.27818,1.63489,1.68626,0.00106261,0.00106261,0.00106261
